Address,Housing_price,Baths,Housing_type,ZipCode,Beds,Location,Housing_area
211 Thompson St,"$825,000",1 ba,Coop,10012,1 bd,"40.72894,-73.99956",NA
102 Bradhurst Ave #308,"$375,000",1 ba,Apt/Condo/Twnhm,10039,1 bd,"40.824554,-73.94165",NA
201 E 36th St #7B,"$850,000",NA,NA,10016,NA,"40.747147,-73.9767",NA
Address Not Disclosed,"$6,495,000",NA,NA,10028,NA,"40.777252,-73.955536",NA
247 W 46th St #3801,"$4,000,000",NA,NA,10036,NA,"40.759743,-73.987404",NA
238 E 68th St,"$13,500,000",5 ba,Condo,10065,5 bd,"40.766445,-73.9613","6,500 sqft"
521 W 23rd St,"$5,950,000",NA,NA,10011,NA,"40.748302,-74.00488",NA
2289 Adam Clayton Powell Jr Blvd,"$1,300,000",NA,NA,10030,NA,"40.814816,-73.943596",NA
107 E 61st St,"$25,000,000",NA,NA,10065,NA,"40.764175,-73.96832",NA
1120 5th Ave #10A,"$15,800,000",5 ba,Coop,10128,5 bd,"40.786095,-73.95667",NA
Address Not Disclosed,"$7,250,000",2 ba,Loft,10007,3 bd,"40.71604,-74.009895",NA
340 E 93rd St #12F,"$545,000",NA,NA,10128,NA,"40.781425,-73.94669",NA
16 W 16th St #8D,"$1,495,000",NA,NA,10011,NA,"40.737717,-73.99398",NA
209 E 56th St #8C,"$399,000",NA,NA,10022,NA,"40.759426,-73.96706",NA
150 Central Park S #1009,"$600,000",NA,NA,10019,NA,"40.766052,-73.977936",NA
Address Not Disclosed,"$335,000",NA,NA,10016,NA,"40.74306,-73.98095",NA
7 Park Ave #3-B,"$440,000",NA,NA,10016,NA,"40.74705,-73.98064",NA
310 W 52nd St #18A,"$1,485,000",NA,NA,10019,NA,"40.76362,-73.98597",NA
178 E 80th St #23A,"$1,299,000",NA,NA,10075,NA,"40.77514,-73.95758",NA
330 E 79th St #8-E,,NA,NA,10075,NA,"40.77257,-73.953995",NA
156 W 15th St,"$9,000,000",NA,NA,10011,NA,"40.738804,-73.99873",NA
137 E 36th St #23K,"$1,195,000",NA,NA,10016,NA,"40.74803,-73.97815",NA
251 E 51st St #5JK,"$1,199,000",NA,NA,10022,NA,"40.75586,-73.968544",NA
16 W 19th St #4C,"$1,595,000",1 ba,Condo,10011,1 bd,"40.73935,-73.992584",900 sqft
55 E 87th St #5M,"$790,000",NA,NA,10128,NA,"40.781406,-73.95742",NA
22 W 26th St #9H,"$2,375,000",NA,NA,10010,NA,"40.744003,-73.99013",NA
333 Rector Pl #404,"$4,200,000",NA,NA,10280,NA,"40.709686,-74.01721",NA
312 E 89th St #4C,"$299,000",NA,NA,10128,NA,"40.77923,-73.94957",NA
301 Pearl St #10N,"$499,000",1 ba,Coop,10038,NA,"40.70906,-74.00247",490 sqft
Address Not Disclosed,"$650,000",1 ba,Coop,10006,1 bd,"40.708336,-74.01364",600 sqft
25 Tudor City Pl #220,"$425,000",1 ba,Coop,10017,1 bd,"40.74863,-73.9705",NA
752 W 178th St #4-A,"$590,000",NA,NA,10033,NA,"40.848553,-73.93994",NA
Address Not Disclosed,"$175,000",NA,NA,10039,NA,"40.823463,-73.938805",NA
443 W 151st St #3-B,"$365,000",NA,NA,10031,NA,"40.828667,-73.94339",NA
8 Morningside Ave #4N,"$325,000",NA,NA,10026,NA,"40.804386,-73.957954",NA
155 W 66th St #929,"$325,000",NA,NA,10023,NA,"40.774517,-73.983154",NA
56 W 119th St #2E,"$200,000",NA,NA,10026,NA,"40.80323,-73.94716",NA
275 E 39th St,"$485,000",NA,NA,10016,NA,"40.74792,-73.97323",NA
