HOA,Housing_area,Crime_level,Address,Housing_type,Beds,Postal_code,Built_year,Baths,Housing_price
$950,NA,Lowest,14 E 4th St #503,Condo,2 Bedroom,10012,Built in 1908,1 full Bathroom,NA
"$3,382",NA,Low,235 E 73rd St #5AG,Coop,3 Bedroom,10021,Built in 1930,3 full Bathroom,NA
$0,"1,231 sqft",Lowest,524 E 72nd St #29A,Single-Family Home,2 Bedroom,10021,Built in 1988,NA,"$1,625/sqft"
NA,919 sqft,Moderate,77 E 110th St #6C,Condo,2 Bedroom,10029,NA,1 full Bathroom,
"$1,789",NA,Lowest,128 Central Park S #11C,Coop,1 Bedroom,10019,Built in 1924,,NA
"$1,642",NA,Lowest,239 E 79th St #13J,Coop,2 Bedroom,10075,Built in 1957,2 full Bathroom,NA
"$1,348","1,053 sqft",Lowest,101 Wall St #18A,Condo,2 Bedroom,10005,Built in 1931,2 full Bathroom,"$1,819/sqft"
NA,NA,Lowest,568 Grand St,Coop,3 Bedroom,10002,Built in 1955,2 full Bathroom,NA
NA,900 sqft,Moderate,139 Centre St #204,Condo,NA,10013,Built in 1911,NA,"$1,528/sqft"
"$1,245","1,232 sqft",Moderate,101 Warren St #1050,Condo,2 Bedroom,10007,Built in 2007,2 full Bathroom,"$2,354/sqft"
"$2,617","1,660 sqft",Low,45 E 80th St #14A,Condo,2 Bedroom,10075,NA,,"$2,560/sqft"
"$2,664","2,296 sqft",Lowest,212 Warren St #27C,Condo,3 Bedroom,10282,Built in 2000,,"$2,219/sqft"
$0,"1,000 sqft",Lowest, Second Ave,Income/Investment,NA,10128,Built in 1910,,
"$2,185","1,100 sqft",Lowest,269 W 72nd St #6CD,Coop,2 Bedroom,10023,Built in 1924,2 full Bathroom,"$1,045/sqft"
"$4,867","1,986 sqft",Lowest,524 W 19th St #1,Condo,3 Bedroom,10011,Built in 2008,2 full Bathroom,"$2,618/sqft"
"$2,802","1,450 sqft",Low,118 E 60th St #29G,Coop,2 Bedroom,10022,Built in 1964,2 full Bathroom,"$1,376/sqft"
$884,"1,108 sqft",Moderate,30 Park Pl #46C,Condo,1 Bedroom,10007,Built in 2016,,"$3,290/sqft"
"$2,146",NA,NA,372 5th Ave #6L,Coop,1 Bedroom,10018,NA,1 full Bathroom,NA
NA,414 sqft,NA,175 W 12th St #7N,Condo,1 Bedroom,10011,NA,1 full Bathroom,"$2,222/sqft"
"$3,415","1,700 sqft",Lowest,128 Central Park S #5CD,Coop,2 Bedroom,10019,Built in 1924,2 full Bathroom,"$1,411/sqft"
"$1,330","1,000 sqft8,955 sqft",Lowest,420 E 58th St #15B,Condo,2 Bedroom,10022,Built in 1985,2 full Bathroom,"$1,500/sqft"
NA,NA,NA,340 W 19th St #16,Coop,2 Bedroom,10011,Built in 1920,1 full Bathroom,NA
"$2,992",NA,NA,230 Central Park S #PH 18F,Coop,2 Bedroom,10019,NA,4 full Bathroom,NA
"$1,285","1,000 sqft",Lowest,415 E 52nd St #4CB,Coop,1 Bedroom,10022,Built in 1956,1 full Bathroom,
$834,789 sqft,Lowest,555 W 59th St #10A,Condo,1 Bedroom,10019,NA,1 full Bathroom,"$1,648/sqft"
"$1,277",600 sqft,Lowest,126 W 73rd St #4A,Coop,1 Bedroom,10023,NA,1 full Bathroom,"$1,165/sqft"
NA,"2,763 sqft436 sqft",Lowest,160 Central Park S,Condo,4 Bedroom,10019,Built in 1930,,"$1,972/sqft"
NA,"2,330 sqft",Lowest,8 E 12th St #5,Condo,2 Bedroom,10003,NA,2 full Bathroom,"$2,318/sqft"
