HOA,Housing_area,Crime_level,Address,Housing_type,Beds,Postal_code,Built_year,Baths,Housing_price
NA,"7,932 sqft",Lowest,345 E 57th St,Coop,2 Bedroom,10022,Built in 1929,2 full Bathroom,NA
NA,NA,Lowest,50 W 29th St #4WEST,Coop,2 Bedroom,10001,Built in 1926,2 full Bathroom,NA
"$2,482","1,444 sqft",Lowest,1 Central Park W #40-E,Condo,2 Bedroom,10023,NA,2 full Bathroom,"$3,186/sqft"
NA,NA,Moderate,169 E 78th St #2D,Coop,2 Bedroom,10075,Built in 1928,2 full Bathroom,NA
NA,NA,Lowest,45 E End Ave #5CD,Coop,4 Bedroom,10028,Built in 1951,3 full Bathroom,NA
NA,NA,Lowest,130 W 67th St #7K,Coop,1 Bedroom,10023,Built in 1975,1 full Bathroom,NA
"$1,125",NA,Lowest,310 W 52nd Street20 #9B,Condo,2 Bedroom,10019,NA,2 full Bathroom,NA
$625,NA,Lowest,273 Bennett Ave #4A,Coop,1 Bedroom,10040,Built in 1951,1 full Bathroom,NA
$733,NA,NA,77 Horatio St #2C,Condo,1 Bedroom,10014,Built in 1836,1 full Bathroom,NA
NA,NA,NA,2 5th Ave #5J,Coop,2 Bedroom,10011,Built in 1950,2 full Bathroom,NA
NA,"2,138 sqft",NA,116 Waverly Pl,Townhome,7 Bedroom,10011,NA,11 full Bathroom,NA
NA,"3,389 sqft",NA,147 Waverly Pl #9,Condo,4 Bedroom,10014,Built in 1912,3 full Bathroom,"$3,806/sqft"
NA,NA,Lowest,140 Riverside Dr #5A,Coop,3 Bedroom,10024,Built in 1938,2 full Bathroom,NA
"$3,202",NA,Lowest,1230 Park Ave #6D,Coop,2 Bedroom,10128,Built in 1929,,NA
NA,NA,Moderate,153 E 57th St #12H,Coop,1 Bedroom,10022,Built in 1959,1 full Bathroom,NA
"$1,519","1,140 sqft",Lowest,56 Pine St #3B,Condo,2 Bedroom,10005,NA,2 full Bathroom,"$1,404/sqft"
"$1,576","1,352 sqft",Lowest,75 Wall St #21C,Condo,2 Bedroom,10005,Built in 1985,2 full Bathroom,"$1,368/sqft"
"$1,090","1,183 sqft2,021 sqft",Moderate,123 W 131st St #1,Condo,2 Bedroom,10027,Built in 2010,,"$1,120/sqft"
NA,NA,Lowest,205 E 78th St #10D,Coop,NA,10075,Built in 1930,1 full Bathroom,NA
NA,647 sqft,Moderate,234 E 46th St #404,Condo,1 Bedroom,10017,NA,1 full Bathroom,"$2,168/sqft"
NA,622 sqft,Moderate,234 E 46th St #405,Condo,1 Bedroom,10017,NA,1 full Bathroom,"$2,188/sqft"
NA,621 sqft,Moderate,234 E 46th St #205,Condo,1 Bedroom,10017,NA,1 full Bathroom,"$2,134/sqft"
NA,900 sqft,Low,160 E 3rd St #5I,Coop,1 Bedroom,10009,Built in 1936,1 full Bathroom,"$1,056/sqft"
NA,581 sqft,Moderate,234 E 46th St #2001,Condo,1 Bedroom,10017,NA,1 full Bathroom,"$2,547/sqft"
"$1,529","1,524 sqft",Lowest,220 Riverside Blvd #17-M,Condo,2 Bedroom,10069,Built in 2001,2 full Bathroom,"$2,408/sqft"
NA,657 sqft,Moderate,234 E 46th St #1902,Condo,1 Bedroom,10017,NA,1 full Bathroom,"$2,321/sqft"
NA,657 sqft,Moderate,234 E 46th St #1502,Condo,1 Bedroom,10017,NA,1 full Bathroom,"$2,295/sqft"
NA,772 sqft,Lowest,330 E 38th St #11G,Condo,1 Bedroom,10016,NA,1 full Bathroom,"$1,425/sqft"
NA,NA,Moderate,Address Not Disclosed,Townhome,NA,10036,NA,NA,NA
NA,638 sqft,Moderate,234 E 46th St #1404,Condo,1 Bedroom,10017,NA,1 full Bathroom,"$2,351/sqft"
"$1,219",800 sqft,Moderate,101 W 24th St,Condo,1 Bedroom,10011,Built in 2007,,"$2,250/sqft"
"$1,560",NA,Lowest,2373 Broadway #1431,Condo,1 Bedroom,10024,NA,1 full Bathroom,NA
NA,"2,711 sqft",Low,341 E 65th St,Apt/Condo/Twnhm,NA,10065,NA,NA,NA
NA,NA,Lowest,116 E 68th St #8B,Coop,3 Bedroom,10065,Built in 1931,,NA
$715,NA,Lowest,20 Pine St #2104,Condo,NA,10005,NA,1 full Bathroom,NA
"$1,167","1,016 sqft",Moderate,175 W 95th St #28HJ,Condo,2 Bedroom,10025,Built in 1971,2 full Bathroom,"$1,634/sqft"
NA,922 sqft,Lowest,2150 Broadway #11G,Condo,1 Bedroom,10023,Built in 2011,,"$2,164/sqft"
NA,NA,Low,245 E 54th St #29L,Coop,1 Bedroom,10022,Built in 1977,1 full Bathroom,NA
NA,NA,Lowest,545 W 111th St #7D,Coop,1 Bedroom,10025,Built in 1909,1 full Bathroom,NA
NA,NA,Lowest,520 E 72nd St #7B,Coop,1 Bedroom,10021,Built in 1963,1 full Bathroom,NA
NA,861 sqft,Low,301 W 53rd St #10C,Condo,2 Bedroom,10019,Built in 1979,1 full Bathroom,"$1,748/sqft"
NA,NA,Lowest,2 King St #4B,Coop,1 Bedroom,10012,NA,1 full Bathroom,NA
$511,NA,Moderate,254 Park Ave S #2B,Condo,1 Bedroom,10010,NA,1 full Bathroom,NA
NA,NA,Moderate,340 W 55th St #8B,Coop,2 Bedroom,10019,Built in 1925,,NA
NA,NA,Lowest,165 W 66th St #2E,Coop,1 Bedroom,10023,Built in 1962,1 full Bathroom,NA
NA,NA,Lowest,30 Beekman Pl #2D,Coop,2 Bedroom,10022,Built in 1930,2 full Bathroom,NA
NA,NA,Low,316 W 84th St #6G,Coop,2 Bedroom,10024,Built in 1947,1 full Bathroom,NA
NA,NA,Lowest,140 W End Ave #9D,Coop,NA,10023,Built in 1961,1 full Bathroom,NA
"$1,640",NA,Low,196 E 75th St #6G,Coop,1 Bedroom,10021,NA,1 full Bathroom,NA
NA,NA,Lowest,56 W 82nd St #16,Coop,NA,10024,NA,1 full Bathroom,NA
"$1,059","1,248 sqft",Low,21 Astor Pl #3A,Condo,1 Bedroom,10003,NA,2 full Bathroom,"$1,963/sqft"
NA,NA,Lowest,160 E 91st St #5A,Coop,1 Bedroom,10128,Built in 1903,1 full Bathroom,NA
NA,NA,Lowest,340 Haven Ave #3D,Coop,1 Bedroom,10033,Built in 1951,1 full Bathroom,NA
NA,NA,Lowest,116 E 66th St,Coop,2 Bedroom,10065,Built in 1955,2 full Bathroom,NA
NA,NA,Lowest,315 W 99th St #2B,Coop,2 Bedroom,10025,Built in 1902,,NA
NA,NA,Lowest,810 Liberty Pl,Apt/Condo/Twnhm,NA,10038,NA,NA,NA
NA,"2,087 sqft",Lowest,845 Nations Plz #44C,Condo,2 Bedroom,10017,NA,3 full Bathroom,"$2,058/sqft"
"$1,497","1,168 sqft",Lowest,101 Wall St #6C,Condo,1 Bedroom,10005,Built in 1931,2 full Bathroom,"$1,438/sqft"
NA,"2,043 sqft",Lowest,128 W 82nd St,Single-Family Home,NA,10024,NA,NA,NA
NA,710 sqft,Lowest,225 Rector Pl #17F,Condo,1 Bedroom,10280,NA,1 full Bathroom,"$1,514/sqft"
NA,"1,500 sqft",Lowest,100 W 57th St #6C,Coop,3 Bedroom,10019,Built in 1962,2 full Bathroom,
NA,NA,Lowest,152 W 58th St #1A,Coop,1 Bedroom,10019,Built in 1915,1 full Bathroom,NA
NA,NA,Low,Address Not Disclosed,Coop,2 Bedroom,10065,Built in 1958,1 full Bathroom,NA
NA,NA,Lowest,121 E 60th St #6E1,Unspecified property type,NA,10022,Built in 1924,NA,NA
$625,NA,Lowest,148 E 24th St #15-B,Condo,NA,10010,NA,1 full Bathroom,NA
NA,600 sqft,Lowest,155 W 66th St #510,Condo,1 Bedroom,10023,Built in 1963,1 full Bathroom,
$0,957 sqft,NA,350 W 42nd St #L,Condo,2 Bedroom,10036,Built in 2004,2 full Bathroom,"$1,724/sqft"
NA,"1,636 sqft",Lowest,50 Nations Plz #5A,Condo,2 Bedroom,10017,NA,,"$2,381/sqft"
NA,NA,Lowest,2 Tudor City Pl #1IN,Coop,1 Bedroom,10017,Built in 1953,1 full Bathroom,NA
NA,"2,097 sqft",Lowest,8 Perry St,Townhome,8 Bedroom,10014,Built in 1849,4 full Bathroom,NA
"$2,484",NA,Lowest,33 W 56th St #5E,Condo,2 Bedroom,10019,NA,,NA
NA,NA,Low,220 Madison Ave #11O,Coop,2 Bedroom,10016,NA,,NA
NA,NA,Lowest,420 E 51st St #4H,Coop,1 Bedroom,10022,Built in 1962,1 full Bathroom,NA
NA,NA,Lowest,61 W 62nd St #22A,Coop,1 Bedroom,10023,NA,1 full Bathroom,NA
NA,NA,Lowest,64 E 80th St #2F,Coop,1 Bedroom,10075,Built in 1883,1 full Bathroom,NA
$917,NA,Low,111 W 106th St #5-R,Townhome,2 Bedroom,10025,NA,1 full Bathroom,NA
NA,NA,Low,2 E 55th St,Apt/Condo/Twnhm,2 Bedroom,10022,NA,3 full Bathroom,NA
NA,NA,Lowest,515 E 85th St #8G,Coop,NA,10028,NA,1 full Bathroom,NA
"$1,067",NA,Lowest,46 W 71st St #1-A,Coop,1 Bedroom,10023,NA,1 full Bathroom,NA
NA,625 sqft,NA,214 W 16th St #3W,Coop,1 Bedroom,10011,NA,1 full Bathroom,
NA,"1,000 sqft",Lowest,420 E 51st St #2B,Coop,1 Bedroom,10022,Built in 1962,1 full Bathroom,
NA,"1,012 sqft",Lowest,630 1st Ave #28M,Condo,1 Bedroom,10016,Built in 1985,2 full Bathroom,"$1,334/sqft"
"$1,720","2,000 sqft",Lowest,16 E 17th St #5,Coop,2 Bedroom,10003,Built in 1898,1 full Bathroom,"$1,498/sqft"
NA,NA,Lowest,155 W 66th St #329,Condo,1 Bedroom,10023,Built in 1999,1 full Bathroom,NA
NA,"1,080 sqft",Lowest,70 Gold St #17C,Coop,2 Bedroom,10038,Built in 1971,1 full Bathroom,
$725,NA,NA,50 W 112th St #5H,Coop,2 Bedroom,10026,NA,1 full Bathroom,NA
NA,NA,Lowest,2790 Broadway #2E,Loft,1 Bedroom,10025,NA,1 full Bathroom,NA
$586,NA,Lowest,330 Haven Ave #5J,Single-Family Home,NA,10033,NA,1 full Bathroom,NA
NA,NA,Lowest,133 E 30th St #D,Coop,NA,10016,NA,1 full Bathroom,NA
NA,NA,Moderate,230 W End Ave #9,Coop,1 Bedroom,10023,NA,1 full Bathroom,NA
$946,NA,NA,70 La Salle St #21E,Coop,NA,10027,Built in 1956,1 full Bathroom,NA
NA,"1,000 sqft",Lowest,420 E 51st St #8H,Coop,1 Bedroom,10022,Built in 1962,1 full Bathroom,
NA,NA,Lowest,218 E 82nd St #1FW,Coop,1 Bedroom,10028,NA,1 full Bathroom,NA
NA,"7,798 sqft",Moderate,103 E 84th St,Coop,NA,10028,Built in 1917,1 full Bathroom,NA
NA,"1,873 sqft",Low,465 W 147th St,Townhome,NA,10031,NA,NA,NA
NA,NA,Lowest,303 E 57th St #8J,Coop,2 Bedroom,10022,Built in 1968,,NA
"$1,116",950 sqft,Moderate,231 W 16th St #1EF,Coop,1 Bedroom,10011,Built in 1890,2 full Bathroom,
$713,"1,135 sqft",Lowest,155 W 66th St #415,Condo,2 Bedroom,10023,NA,2 full Bathroom,
$982,700 sqft,Lowest,4 W 101st St #59-A,Apartment,2 Bedroom,10025,NA,1 full Bathroom,
NA,758 sqft,Lowest,750 Riverside Dr #1E,Condo,2 Bedroom,10031,NA,1 full Bathroom,
$635,NA,NA,100 Suffolk St #2A,Coop,1 Bedroom,10002,Built in 1920,1 full Bathroom,NA
$0,"4,694 sqft",Lowest,30 Macombs Pl,Coop,2 Bedroom,10039,NA,1 full Bathroom,NA
NA,NA,NA,229 W 144th St #44,Coop,4 Bedroom,10030,Built in 1929,1 full Bathroom,NA
"$1,230","1,000 sqft",Lowest,425 5th Ave #46D,Condo,1 Bedroom,10016,NA,,"$1,795/sqft"
NA,"2,300 sqft",Moderate,180 E 79th St #7G,Coop,2 Bedroom,10075,Built in 1929,3 full Bathroom,"$1,520/sqft"
NA,"1,367 sqft",Lowest,454 W 54th St #3D,Condo,2 Bedroom,10019,Built in 2010,,"$1,576/sqft"
$826,NA,Low,15 William St #44B,Condo,1 Bedroom,10005,NA,1 full Bathroom,NA
NA,"1,105 sqft",Lowest,305 2nd Ave #504,Condo,1 Bedroom,10003,NA,1 full Bathroom,"$1,312/sqft"
NA,"3,550 sqft",Low,157 E 74th St #6FL,Condo,4 Bedroom,10021,Built in 1985,4 full Bathroom,"$2,183/sqft"
NA,889 sqft,Low,304 E 65th St #33A,Condo,1 Bedroom,10065,Built in 1985,,"$1,406/sqft"
NA,NA,Moderate,694 9th Ave,Townhome,NA,10036,NA,NA,NA
NA,"1,300 sqft",Low,15 William St #24E,Condo,2 Bedroom,10005,Built in 2008,2 full Bathroom,"$1,692/sqft"
NA,779 sqft,NA,450 W 17th St #2301,Condo,1 Bedroom,10011,Built in 2006,1 full Bathroom,"$2,754/sqft"
NA,NA,Low,79 Hamilton Pl #22,Coop,3 Bedroom,10031,NA,1 full Bathroom,NA
$0,"1,100 sqft",Low,172 E 90th St #4E,Coop,2 Bedroom,10128,Built in 1920,2 full Bathroom,"$1,045/sqft"
NA,NA,Lowest,507 W 111th St #23,Coop,3 Bedroom,10025,Built in 1915,1 full Bathroom,NA
NA,"1,736 sqft",Lowest,50 West St #52A,Condo,2 Bedroom,10006,Built in 2016,3 full Bathroom,"$2,503/sqft"
NA,832 sqft,Low,15 William St #12C,Condo,1 Bedroom,10005,Built in 2008,1 full Bathroom,"$1,460/sqft"
NA,877 sqft,Lowest,845 Nations Plz #10C,Condo,1 Bedroom,10017,NA,,"$1,819/sqft"
"$3,145","2,250 sqft",Lowest,161 W 61st St #27FG,Condo,3 Bedroom,10023,NA,4 full Bathroom,"$1,598/sqft"
NA,NA,Lowest,755 W End Ave #2B,Coop,2 Bedroom,10025,Built in 1924,3 full Bathroom,NA
NA,"1,645 sqft",Low,301 W 53rd St #20CD,Condo,4 Bedroom,10019,Built in 1979,2 full Bathroom,"$1,906/sqft"
NA,NA,Lowest,50 Park Ave #7CD,Coop,3 Bedroom,10016,Built in 1940,2 full Bathroom,NA
NA,812 sqft,Low,15 William St #33F,Condo,1 Bedroom,10005,Built in 2008,1 full Bathroom,"$1,632/sqft"
NA,"2,999 sqft",Lowest,347 Manhattan Ave,Income/Investment,NA,10026,NA,NA,NA
NA,"7,580 sqft",Lowest,440 W 47th St,Apt/Condo/Twnhm,NA,10036,NA,NA,NA
NA,"2,794 sqft",Lowest,130 Fulton St,Condo,3 Bedroom,10038,Built in 1894,,"$1,288/sqft"
"$1,678","1,319 sqft",Low,502 Park Ave #11J,Condo,2 Bedroom,10022,Built in 1929,2 full Bathroom,"$2,691/sqft"
NA,"1,132 sqft",Lowest,50 United Nations Plz #14C,Condo,2 Bedroom,10017,Built in 2014,2 full Bathroom,"$2,628/sqft"
NA,"1,150 sqft",Moderate,200 E 27th St #10F,Apartment,2 Bedroom,10016,NA,2 full Bathroom,"$1,283/sqft"
NA,"1,880 sqft",Moderate,260 Park Ave S #6B,Condo,2 Bedroom,10010,Built in 1917,,"$2,872/sqft"
$885,877 sqft,Lowest,845 United Nations Plz #10C,Condo,1 Bedroom,10017,NA,,"$1,819/sqft"
NA,"1,147 sqft",Lowest,50 Nations Plz #14D,Condo,1 Bedroom,10017,NA,,"$2,241/sqft"
"$5,387","2,993 sqft",Lowest,505 W 19th St #6W,Condo,3 Bedroom,10011,Built in 2015,,"$2,606/sqft"
NA,"7,580 sqft",Lowest,440 W 47th St,Income/Investment,NA,10036,NA,NA,NA
NA,"6,000 sqft2,352 sqft",Moderate,41 King St,Apt/Condo/Twnhm,7 Bedroom,10014,NA,7 full Bathroom,"$2,083/sqft"
NA,NA,Moderate,692 9th Ave,Townhome,NA,10036,NA,NA,NA
NA,"1,132 sqft",Lowest,50 Nations Plz #14C,Condo,2 Bedroom,10017,NA,2 full Bathroom,"$2,628/sqft"
NA,"1,062 sqft",Low,15 William St #42K,Condo,1 Bedroom,10005,Built in 2008,1 full Bathroom,"$1,789/sqft"
NA,NA,Lowest,19 E 72nd St #1D,Coop,1 Bedroom,10021,Built in 1937,1 full Bathroom,NA
$964,NA,Lowest,100 United Nations Plz #19C,Condo,1 Bedroom,10017,NA,1 full Bathroom,NA
NA,"1,316 sqft3,320 sqft",Low,323 Park Ave S #3B,Condo,2 Bedroom,10010,Built in 2012,,"$2,276/sqft"
NA,"1,815 sqft",Lowest,195 Bowery #8,Condo,2 Bedroom,10002,NA,2 full Bathroom,"$1,488/sqft"
NA,NA,Lowest,160 W 85th St #6D,Coop,1 Bedroom,10024,Built in 1947,1 full Bathroom,NA
NA,"2,507 sqft",Lowest,21 E 61st St #7E,Apartment,3 Bedroom,10065,NA,,"$3,470/sqft"
NA,"2,200 sqft",Lowest,1016 5th Ave #9D,Coop,2 Bedroom,10028,Built in 1926,2 full Bathroom,"$1,455/sqft"
NA,"1,624 sqft",Lowest,50 Nations Plz #14B,Condo,2 Bedroom,10017,NA,,"$2,885/sqft"
NA,890 sqft,Lowest,160 W 66th St #25J,Condo,1 Bedroom,10023,Built in 1990,,"$1,910/sqft"
"$1,650","1,442 sqft",Lowest,1 W End Ave #19K,Condo,2 Bedroom,10023,NA,,"$2,205/sqft"
NA,606 sqft,Lowest,123 Washington St #48H,Condo,1 Bedroom,10006,Built in 2010,1 full Bathroom,"$2,302/sqft"
NA,789 sqft,Low,301 W 53rd St #24D,Condo,1 Bedroom,10019,Built in 1979,1 full Bathroom,"$1,971/sqft"
"$2,597","1,200 sqft",NA,210 Central Park S #20A,Coop,1 Bedroom,10019,NA,2 full Bathroom,"$3,542/sqft"
$755,687 sqft,Moderate,325 5th Ave.,Condo,1 Bedroom,10016,NA,1 full Bathroom,"$1,674/sqft"
NA,706 sqft,Lowest,Address Not Disclosed,Condo,1 Bedroom,10005,NA,1 full Bathroom,"$1,586/sqft"
NA,"1,300 sqft",Low,15 William St #9E,Condo,2 Bedroom,10005,Built in 2008,2 full Bathroom,"$1,458/sqft"
NA,NA,Lowest, Madison 25 #25,Condo,NA,,NA,NA,NA
"$2,998",NA,Lowest,Address Not Disclosed,Condo,NA,10017,NA,NA,NA
NA,"1,295 sqft",Lowest,1 Morton Sq #7GW,Condo,2 Bedroom,10014,Built in 2004,2 full Bathroom,"$2,181/sqft"
NA,"6,564 sqft",NA,1885 Lexington Ave,Unspecified property type,NA,10035,Built in 1920,NA,NA
NA,NA,Low,2169 3rd Ave,Unspecified property type,NA,10035,NA,NA,NA
NA,NA,NA,251 E 32nd St #17D,Coop,1 Bedroom,10016,Built in 1965,1 full Bathroom,NA
"$2,292",NA,Lowest,785 Park Ave #11C,Coop,2 Bedroom,10021,NA,,NA
"$1,430",NA,Lowest,321 E 54th St #4A,Coop,1 Bedroom,10022,NA,1 full Bathroom,NA
NA,NA,Lowest,309 E 49th St,Condo,1 Bedroom,10017,Built in 1982,1 full Bathroom,NA
NA,NA,Lowest,115 E 61st St,Coop,NA,10065,Built in 1928,3 full Bathroom,NA
NA,NA,Low,111 Barrow St #6D,Coop,1 Bedroom,10014,Built in 1929,,NA
"$5,436",NA,NA,172 Madison Ave,Condo,NA,10016,NA,1 full Bathroom,NA
"$1,019",700 sqft,Lowest,425 E 13th St #5G,Condo,1 Bedroom,10009,Built in 2007,1 full Bathroom,"$1,714/sqft"
NA,725 sqft,Lowest,120 Riverside Blvd #3P,Condo,1 Bedroom,10069,NA,1 full Bathroom,"$1,648/sqft"
NA,750 sqft,Lowest,310 W 99th St #208,Coop,2 Bedroom,10025,NA,1 full Bathroom,
NA,"2,013 sqft",Lowest,18 E 93rd St,Townhome,6 Bedroom,10128,Built in 1893,9 full Bathroom,NA
NA,NA,Low,150 Sullivan St #22,Coop,NA,10012,NA,1 full Bathroom,NA
$376,482 sqft,Lowest,Address Not Disclosed,Condo,NA,10026,NA,1 full Bathroom,
"$1,600","1,549 sqft",Moderate,Address Not Disclosed,Apartment,NA,10031,NA,NA,NA
NA,NA,Lowest,1230 Park Ave #910A,Coop,2 Bedroom,10128,Built in 1929,2 full Bathroom,NA
"$1,627",NA,Moderate,39 E 12th St #108,Coop,1 Bedroom,10003,NA,1 full Bathroom,NA
NA,"1,000 sqft",Moderate,450 W 152nd St #51,Coop,4 Bedroom,10031,NA,1 full Bathroom,
"$3,330","1,500 sqft",Lowest,100 W 57th St #14C,Coop,3 Bedroom,10019,Built in 1962,2 full Bathroom,
NA,NA,Low,1 W 126th St #2C,Loft,2 Bedroom,10027,NA,1 full Bathroom,NA
NA,NA,Low,236 E 28th St #4A,Loft,2 Bedroom,10016,NA,1 full Bathroom,NA
$888,911 sqft,Lowest,100 Riverside Blvd #5A,Condo,2 Bedroom,10069,Built in 2008,1 full Bathroom,"$1,312/sqft"
NA,NA,Lowest,208 W 119th St #3P,Coop,1 Bedroom,10026,Built in 1900,1 full Bathroom,NA
"$1,067","2,008 sqft",Lowest,46 W 71st St,Condo,NA,10023,NA,1 full Bathroom,NA
NA,391 sqft,NA,2460 Adam Clayton Powell Jr Blvd #38,Coop,2 Bedroom,10030,NA,1 full Bathroom,
NA,474 sqft,Lowest,775 Riverside Dr #4F,Condo,1 Bedroom,10032,NA,1 full Bathroom,
NA,NA,Lowest,1175 York Ave #6D,Apt/Condo/Twnhm,3 Bedroom,10065,Built in 1959,3 full Bathroom,NA
NA,NA,Lowest,156 E 97th St #1,Coop,1 Bedroom,10029,Built in 1930,1 full Bathroom,NA
NA,NA,Low,63 Pitt St #3F,Unspecified property type,2 Bedroom,10002,Built in 1920,1 full Bathroom,NA
"$1,660",NA,Low,2 E 55th St #835,Condo,2 Bedroom,10022,NA,3 full Bathroom,NA
NA,850 sqft,Low,420 W 206th St #3B,Coop,1 Bedroom,10034,NA,1 full Bathroom,
NA,530 sqft,Lowest,750 Riverside Dr #2B,Condo,1 Bedroom,10031,NA,1 full Bathroom,
NA,NA,Moderate,512 W 156th St #21,Coop,3 Bedroom,10032,Built in 1908,1 full Bathroom,NA
NA,NA,NA,513 W 135th St #4D,Coop,2 Bedroom,10031,Built in 1910,1 full Bathroom,NA
NA,NA,Low,301 E 63rd St #16L,Coop,NA,10065,Built in 1958,1 full Bathroom,NA
NA,NA,Moderate,242 W 112th St #1B,Coop,1 Bedroom,10026,NA,1 full Bathroom,NA
$311,NA,Lowest,133 E 15th St #2-A,Apartment,NA,10003,NA,1 full Bathroom,NA
NA,"1,434 sqft",Lowest,400 E 54th St #28C,Condo,3 Bedroom,10022,Built in 1973,2 full Bathroom,"$2,057/sqft"
NA,"1,100 sqft",Moderate,Address Not Disclosed,Single-Family Home,1 Bedroom,10019,NA,2 full Bathroom,"$2,386/sqft"
NA,NA,Low,300 E 71st St #16HJ,Coop,4 Bedroom,10021,Built in 1960,3 full Bathroom,NA
NA,780 sqft,Moderate,225 E 34th St,Condo,1 Bedroom,10016,NA,1 full Bathroom,"$1,731/sqft"
NA,NA,Lowest,420 E 51st St #4D,Coop,2 Bedroom,10022,Built in 1962,2 full Bathroom,NA
NA,"2,001 sqft",Lowest,308 E 72nd St #20A,Condo,3 Bedroom,10021,Built in 1997,,"$2,149/sqft"
NA,"1,304 sqft",Moderate,219 W 81st St #4F,Condo,2 Bedroom,10024,Built in 1912,2 full Bathroom,"$1,760/sqft"
NA,"1,330 sqft",Lowest,845 Nations Plz #19H,Condo,2 Bedroom,10017,NA,2 full Bathroom,"$1,579/sqft"
"$1,596",900 sqft,Low,444 Central Park W #11,Single-Family Home,1 Bedroom,10025,Built in 1929,,"$1,333/sqft"
NA,"1,236 sqft",Lowest,305 2nd Ave,Condo,1 Bedroom,10003,NA,2 full Bathroom,"$1,416/sqft"
NA,NA,Moderate,245 E 53rd St,Lot/Land,NA,10022,NA,NA,NA
NA,750 sqft,Lowest,77 W 55th St #14H,Condo,1 Bedroom,10019,NA,1 full Bathroom,"$1,700/sqft"
NA,"2,079 sqft",Low,301 W 53rd St #10EF,Condo,4 Bedroom,10019,Built in 1979,4 full Bathroom,"$1,724/sqft"
$797,850 sqft,Moderate,Address Not Disclosed,Condo,1 Bedroom,10024,Built in 1913,1 full Bathroom,"$1,524/sqft"
NA,860 sqft,Moderate,280 Park Ave S #19C,Condo,1 Bedroom,10010,NA,,"$2,300/sqft"
NA,NA,Lowest,128 Central Park S #8B,Coop,1 Bedroom,10019,Built in 1924,2 full Bathroom,NA
NA,NA,Lowest,30 W 60th St #8D,Coop,1 Bedroom,10023,Built in 1957,1 full Bathroom,NA
NA,NA,Lowest,155 W 66th St #1029,Condo,3 Bedroom,10023,Built in 1999,,NA
$780,971 sqft,Lowest,100 W 93rd St #11J,Condo,2 Bedroom,10025,Built in 1973,1 full Bathroom,"$1,562/sqft"
NA,"2,040 sqft",Moderate,696 9th Ave,Townhome,NA,10036,NA,NA,NA
NA,"2,443 sqft",Lowest,21 E 61st St #7A,Apartment,3 Bedroom,10065,NA,,"$3,520/sqft"
NA,"2,510 sqft",Moderate,356 W 48th St,Townhome,NA,10036,NA,NA,NA
NA,NA,Lowest,30 E 72nd St #8AB,Coop,4 Bedroom,10021,Built in 1924,,NA
NA,926 sqft,Moderate,2000 Broadway #22A,Condo,1 Bedroom,10023,Built in 1986,,"$1,922/sqft"
NA,"1,038 sqft",NA,450 W 17th St #1603,Condo,2 Bedroom,10011,Built in 2006,2 full Bathroom,"$2,885/sqft"
NA,"1,947 sqft",Low,959 1st Ave #10A,Condo,3 Bedroom,10022,Built in 2015,,"$1,695/sqft"
"$4,507",NA,Lowest,114 E 72nd St #5C,Coop,3 Bedroom,10021,Built in 1963,,NA
NA,"1,325 sqft",Low,15 William St #11A,Condo,2 Bedroom,10005,Built in 2008,2 full Bathroom,"$1,291/sqft"
"$3,561","3,190 sqft",Lowest,50 Riverside Blvd #24A,Condo,4 Bedroom,10069,Built in 2015,,"$2,737/sqft"
NA,889 sqft,Low,304 E 65th St #34A,Condo,1 Bedroom,10065,Built in 1985,,"$1,462/sqft"
"$1,920","2,101 sqft",Lowest,825 W End Ave #12A,Condo,2 Bedroom,10025,Built in 1927,3 full Bathroom,"$1,426/sqft"
NA,NA,Low,225 E 111th St #5A,Condo,1 Bedroom,10029,NA,1 full Bathroom,NA
NA,"1,674 sqft",Lowest,422 E 72nd St #38B,Condo,2 Bedroom,10021,NA,2 full Bathroom,"$1,673/sqft"
NA,"1,350 sqft",Low,502 Park Ave #11JK,Condo,2 Bedroom,10022,Built in 1928,2 full Bathroom,"$2,704/sqft"
NA,"1,474 sqft",NA,70 Charlton St,Condo,2 Bedroom,10014,NA,2 full Bathroom,"$2,062/sqft"
NA,NA,Low,123 Lafayette St,Income/Investment,NA,10013,NA,NA,NA
NA,"1,328 sqft",NA,76 Madison Ave #7B,Condo,2 Bedroom,10016,Built in 1911,2 full Bathroom,"$1,980/sqft"
NA,NA,NA,704 W End Ave #1,Apartment,3 Bedroom,10025,NA,3 full Bathroom,NA
NA,"4,210 sqft",Low,1884 Park Ave,Multi-Family Home,6 Bedroom,10035,NA,,
NA,NA,Lowest,799 Park Ave #12A,Coop,3 Bedroom,10021,Built in 1961,3 full Bathroom,NA
NA,"1,345 sqft",Low,301 W 53rd St #3GH,Condo,2 Bedroom,10019,Built in 1979,2 full Bathroom,"$1,445/sqft"
NA,"1,900 sqft",Lowest,404 E 76th St,Condo,3 Bedroom,10021,Built in 2001,,"$1,934/sqft"
NA,977 sqft,NA,159-161 W 126th St,Condo,2 Bedroom,10027,NA,,"$1,125/sqft"
"$1,884",990 sqft,Lowest,33 W 56th St #8-C,Condo,1 Bedroom,10019,NA,2 full Bathroom,"$2,828/sqft"
NA,"1,032 sqft",Lowest,160 W 66th St #21G,Condo,1 Bedroom,10023,Built in 1990,,"$1,792/sqft"
